:START_ID,:END_ID,:TYPE
dolphin::33129,organism:8966be8e8747,ISOLATED_FROM
dolphin::33130,organism:e13e61f3f079,ISOLATED_FROM
dolphin::33131,organism:c94f9761bc66,ISOLATED_FROM
dolphin::33132,organism:10eed79819e8,ISOLATED_FROM
dolphin::33133,organism:5fdd15e5129c,ISOLATED_FROM
dolphin::33134,organism:d1ac70e3c1c5,ISOLATED_FROM
dolphin::33135,organism:fee8dea9186b,ISOLATED_FROM
dolphin::33136,organism:f69a0ac4c7b5,ISOLATED_FROM
dolphin::33137,organism:8476e4d87fdc,ISOLATED_FROM
dolphin::33138,organism:e89a5316da99,ISOLATED_FROM
dolphin::33139,organism:a33b54d51761,ISOLATED_FROM
dolphin::33140,organism:3d369572bee9,ISOLATED_FROM
dolphin::33141,organism:09a636faca9a,ISOLATED_FROM
dolphin::33142,organism:8365ab0d47c8,ISOLATED_FROM
dolphin::33143,organism:3f06e033b805,ISOLATED_FROM
dolphin::33144,organism:c06be3dfbc77,ISOLATED_FROM
dolphin::33145,organism:8860c603977b,ISOLATED_FROM
dolphin::33146,organism:10a089050d9d,ISOLATED_FROM
dolphin::33147,organism:dfe035247096,ISOLATED_FROM
dolphin::33148,organism:c2d415888309,ISOLATED_FROM
dolphin::33149,organism:07198c918b5a,ISOLATED_FROM
dolphin::33150,organism:66e63253a61e,ISOLATED_FROM
dolphin::33151,organism:b8667f26407c,ISOLATED_FROM
dolphin::33152,organism:0e35c0d2cc57,ISOLATED_FROM
dolphin::33153,organism:086ab99476eb,ISOLATED_FROM
dolphin::33154,organism:10a089050d9d,ISOLATED_FROM
dolphin::33155,organism:efb79f0a5998,ISOLATED_FROM
dolphin::33156,organism:d44d859920d1,ISOLATED_FROM
dolphin::33157,organism:22c37602b787,ISOLATED_FROM
dolphin::33158,organism:557206c8586c,ISOLATED_FROM
dolphin::33159,organism:a804ca590c3c,ISOLATED_FROM
dolphin::33160,organism:57e7c20d83d7,ISOLATED_FROM
dolphin::33161,organism:086ab99476eb,ISOLATED_FROM
dolphin::33162,organism:cbbc8cd9e4df,ISOLATED_FROM
dolphin::33163,organism:014e40b822e6,ISOLATED_FROM
dolphin::33164,organism:d09b4d5ea913,ISOLATED_FROM
dolphin::33165,organism:3b17e778aed0,ISOLATED_FROM
dolphin::33166,organism:3b17e778aed0,ISOLATED_FROM
dolphin::33167,organism:3be47f82b16e,ISOLATED_FROM
dolphin::33168,organism:2c7efea260ca,ISOLATED_FROM
dolphin::33169,organism:10a089050d9d,ISOLATED_FROM
dolphin::33170,organism:10a089050d9d,ISOLATED_FROM
dolphin::33171,organism:d507e209a023,ISOLATED_FROM
dolphin::33172,organism:234898229c9c,ISOLATED_FROM
dolphin::33173,organism:234898229c9c,ISOLATED_FROM
dolphin::33174,organism:10a089050d9d,ISOLATED_FROM
dolphin::33175,organism:1c5e1673e5c8,ISOLATED_FROM
dolphin::33176,organism:e1f9dc12ef70,ISOLATED_FROM
dolphin::33177,organism:85fcb35a6e00,ISOLATED_FROM
dolphin::33178,organism:be2dbb6c0577,ISOLATED_FROM
dolphin::33179,organism:85fcb35a6e00,ISOLATED_FROM
dolphin::33180,organism:babd7e908343,ISOLATED_FROM
