source_id,target_id,edge_type,source_db
dolphin::32885,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32886,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32886,disease:6d2e44ff8ea0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32887,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32887,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32888,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32888,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32888,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32888,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32889,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32890,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32891,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32892,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32893,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32894,disease:1fddeb02d9df,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32895,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32896,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32897,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32898,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32900,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32901,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32902,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32903,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32904,disease:10e359e155e9,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32904,disease:db546fe0b93b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32904,disease:b147ce509f80,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32905,disease:10e359e155e9,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32905,disease:db546fe0b93b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32906,disease:10e359e155e9,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32906,disease:db546fe0b93b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32909,disease:a03fd0d123d0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32910,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32910,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32910,disease:bddebb3fd086,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32910,disease:87c254ba292b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32910,disease:a03fd0d123d0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32911,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32912,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32913,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32914,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32914,disease:10e359e155e9,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32914,disease:db546fe0b93b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32914,disease:b147ce509f80,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32917,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32962,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32969,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32972,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32977,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32978,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32982,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32986,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32987,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32988,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33001,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33002,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33003,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33005,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33005,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33006,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33007,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33008,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33009,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33010,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33011,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33012,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33013,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33014,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33016,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33017,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33018,disease:87c254ba292b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33019,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33020,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33021,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33022,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
